Month,Month_Name,Seasonal_Index,Demand_Level,Expected_Demand,Lower_Bound,Upper_Bound,Trend_Factor,Status,Key_Factors,Recommended_Actions
1,January,1.150,peak,172,95,250,1.0000,on_track,Dry season; Holidays: New Year's Day; New-term enrollment surge,"All hands on deck — maximum sessions, maximum coaches; Premium pricing opportunity (limited-slot sessions); Capture testimonials, photos, and social content; Plan and promote flagship community events; Onboard new coaches if capacity is constrained"
2,February,1.100,peak,168,92,243,1.0150,on_track,Dry season,"All hands on deck — maximum sessions, maximum coaches; Premium pricing opportunity (limited-slot sessions); Capture testimonials, photos, and social content; Plan and promote flagship community events; Onboard new coaches if capacity is constrained"
3,March,1.050,high,162,89,235,1.0302,on_track,Exam period,Maximise session capacity — add extra time slots; Push new member acquisition campaigns; Stock store inventory for increased demand; Schedule community events and open meets
4,April,0.850,moderate,133,73,193,1.0457,expected_seasonal_dip,"Moderate rainfall (120mm); School holiday; Holidays: Good Friday, Easter Monday",Standard operations — maintain service quality; Begin pre-marketing for upcoming peak season; Run referral programs to grow word-of-mouth; Review and restock store inventory
5,May,0.800,moderate,127,70,185,1.0614,expected_seasonal_dip,"Heavy rainfall (200mm); Holidays: Workers' Day, Democracy Day",Standard operations — maintain service quality; Begin pre-marketing for upcoming peak season; Run referral programs to grow word-of-mouth; Review and restock store inventory
6,June,0.750,low,121,67,176,1.0773,expected_seasonal_dip,Heavy rainfall (315mm); Exam period,Run retention campaigns (discounts for existing members); Promote indoor/covered pool sessions; Focus on academy cohort enrollment for next term; Conserve cash — reduce discretionary spending; Use downtime for coach training and content creation
7,July,0.700,low,115,63,166,1.0934,expected_seasonal_dip,Heavy rainfall (250mm); School holiday,Run retention campaigns (discounts for existing members); Promote indoor/covered pool sessions; Focus on academy cohort enrollment for next term; Conserve cash — reduce discretionary spending; Use downtime for coach training and content creation
8,August,0.800,moderate,133,73,193,1.1098,expected_seasonal_dip,School holiday,Standard operations — maintain service quality; Begin pre-marketing for upcoming peak season; Run referral programs to grow word-of-mouth; Review and restock store inventory
9,September,0.850,moderate,144,79,208,1.1265,expected_seasonal_dip,Heavy rainfall (200mm); New-term enrollment surge,Standard operations — maintain service quality; Begin pre-marketing for upcoming peak season; Run referral programs to grow word-of-mouth; Review and restock store inventory
10,October,1.000,high,172,94,249,1.1434,on_track,Moderate rainfall (145mm); Holidays: Independence Day,Maximise session capacity — add extra time slots; Push new member acquisition campaigns; Stock store inventory for increased demand; Schedule community events and open meets
11,November,1.100,peak,192,105,278,1.1605,on_track,Dry season; Exam period,"All hands on deck — maximum sessions, maximum coaches; Premium pricing opportunity (limited-slot sessions); Capture testimonials, photos, and social content; Plan and promote flagship community events; Onboard new coaches if capacity is constrained"
12,December,0.850,moderate,150,83,218,1.1779,expected_seasonal_dip,"Dry season; School holiday; Holidays: Christmas Day, Boxing Day; Holiday travel season",Standard operations — maintain service quality; Begin pre-marketing for upcoming peak season; Run referral programs to grow word-of-mouth; Review and restock store inventory
